rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
2 10 138 138 0 0 434880 434880 1.0000 1593456 4705020765 8799.9030 0.0000 8799.9030 0.0202 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:22:05.790 1325790
2 10 138 138 0 0 434880 434880 1.0000 6480831 24503104159 15212.4350 0.0000 15212.4350 0.0350 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:22:55.437 1375437
2 10 138 138 0 0 434880 434880 1.0000 27619923 105022367352 14471.0590 0.0000 14471.0590 0.0333 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:25:54.906 1554906
2 10 138 138 0 0 434880 434880 1.0000 3413676 11887694686 17307.7030 0.0000 17307.7030 0.0398 100 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:24:02.137 1442137
2 10 138 138 0 0 434880 434880 1.0000 2010747 7165386575 19832.7610 0.0000 19832.7610 0.0456 100 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:20:25.498 1225498
2 10 138 138 0 0 434880 434880 1.0000 1216287 3602415296 24532.4280 0.0000 24532.4280 0.0564 100 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:24:01.512 1441512
2 10 138 138 0 0 434880 434880 1.0000 3815570 14530214166 15896.1790 0.0000 15896.1790 0.0366 100 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:19:43.467 1183467
2 10 56 56 0 0 142393 142393 1.0000 1563595 5393168826 2284.7480 0.0000 2284.7480 0.0160 50 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:07:53.361 473361
2 10 56 56 0 0 142393 142393 1.0000 559280 1393410956 1824.9100 0.0000 1824.9100 0.0128 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:07:50.213 470213
2 10 56 56 0 0 142393 142393 1.0000 2007089 6883893709 969.9820 0.0000 969.9820 0.0068 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:50.741 110741
2 10 56 56 0 0 142393 142393 1.0000 8665705 29465409679 943.2150 0.0000 943.2150 0.0066 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:52.383 112383
2 10 56 56 0 0 142393 142393 1.0000 1103057 3394676859 1255.0200 0.0000 1255.0200 0.0088 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:01:51.866 111866
