rodada makespan nPeers nMachines upp instance limit goodput badput avTime cost
 2  27197.338709677420411026 100 30  5 m1.xlarge 100 -1 -1 -1  8876.167999999999665305950
 2  16639.112903225806803675 100 30  5 m2.2xlarge 100 -1 -1 -1 10009.072000000000116415322
 2  10232.177419354839003063 100 30  5 m2.4xlarge 100 -1 -1 -1 12056.211999999999534338713
 2  29783.758064516128797550 100 30  5 m2.xlarge 100 -1 -1 -1  7444.501000000000203726813
 2  21299.500000000000000000  50 30  5 c1.medium 100 -1 -1 -1   562.073999999999955434760
 2   8266.821428571429350995  50 30  5 c1.xlarge 100 -1 -1 -1   608.177999999999997271516
 2  26984.428571428572467994  50 30  5 m1.large 100 -1 -1 -1   415.115999999999985448085
 2 118903.000000000000000000  50 30  5 m1.small 100 -1 -1 -1   248.576999999999998181011
 2  15380.071428571429350995  50 30  5 m1.xlarge 100 -1 -1 -1   589.221999999999979991117
 2   9366.535714285713766003  50 30  5 m2.2xlarge 100 -1 -1 -1   615.370000000000004547474
 2   6336.000000000000000000  50 30  5 m2.4xlarge 100 -1 -1 -1   550.019999999999981810106
 2  16057.892857142856883002  50 30  5 m2.xlarge 100 -1 -1 -1   546.267500000000040927262
 2  36730.543478260871779639 100 30 10 c1.medium 100 -1 -1 -1  6253.149999999999636202119
 2  11546.782608695652015740 100 30 10 c1.xlarge 100 -1 -1 -1  8799.903000000000247382559
 2  46962.543478260871779639 100 30 10 m1.large 100 -1 -1 -1 15212.434999999999490682967
 2 200144.369565217377385125 100 30 10 m1.small 100 -1 -1 -1 14471.058999999999286956154
 2  24736.782608695652015740 100 30 10 m1.xlarge 100 -1 -1 -1 17307.703000000001338776201
 2  14570.630434782608062960 100 30 10 m2.2xlarge 100 -1 -1 -1 19832.760999999998603016138
 2   8813.673913043478023610 100 30 10 m2.4xlarge 100 -1 -1 -1 24532.427999999999883584678
 2  27649.057971014492068207 100 30 10 m2.xlarge 100 -1 -1 -1 15896.179000000000087311491
 2  27921.339285714286233997  50 30 10 c1.medium 100 -1 -1 -1  2284.748000000000047293724
 2   9987.142857142856883002  50 30 10 c1.xlarge 100 -1 -1 -1  1824.910000000000081854523
 2  35840.875000000000000000  50 30 10 m1.large 100 -1 -1 -1   969.981999999999970896170
 2 154744.732142857130384073  50 30 10 m1.small 100 -1 -1 -1   943.215000000000031832315
 2  19697.446428571427532006  50 30 10 m1.xlarge 100 -1 -1 -1  1255.019999999999981810106
 2  11938.000000000000000000  50 30 10 m2.2xlarge 100 -1 -1 -1  1387.262999999999919964466
 2   7593.446428571428441501  50 30 10 m2.4xlarge 100 -1 -1 -1  1701.238000000000056388672
 2  21083.500000000000000000  50 30 10 m2.xlarge 100 -1 -1 -1  1266.369999999999890860636
 3  50770.666666666664241347 100 30  1 c1.medium 100 -1 -1 -1   587.381999999999948158802
 3  15426.111111111111313221 100 30  1 c1.xlarge 100 -1 -1 -1   800.049999999999954525265
 3  63649.444444444445252884 100 30  1 m1.large 100 -1 -1 -1  1456.079999999999927240424
 3 254071.000000000000000000 100 30  1 m1.small 100 -1 -1 -1  1050.842000000000098225428
 3  33892.888888888890505768 100 30  1 m1.xlarge 100 -1 -1 -1  1542.647999999999910869519
 3  20567.666666666667879326 100 30  1 m2.2xlarge 100 -1 -1 -1  1699.932000000000016370905
 3  11691.666666666666060337 100 30  1 m2.4xlarge 100 -1 -1 -1  1807.075000000000045474735
 3  38882.333333333335758653 100 30  1 m2.xlarge 100 -1 -1 -1  1308.569999999999936335371
 3  75616.000000000000000000  50 30  1 c1.medium 100 -1 -1 -1    86.563999999999992951416
 3  23272.500000000000000000  50 30  1 c1.xlarge 100 -1 -1 -1    92.349999999999994315658
